RatingScore,Cargill,QiList
9360477,9360477,9360477
9666522,9666522,9666522
9240811,9240811,9240811
9317456,9317456,9317456
9411927,9411927,9411927
9729025,9729025,9729025
9336763,9336763,9336763
9827516,9827516,9827516
9723617,9723617,9723617
9588366,9588366,9588366
9200354,9200354,9200354
9460514,9460514,9460514
9751303,9751303,9751303
9428463,9428463,9428463
9581241,9581241,9581241
9470923,9702687,9702687
9702687,9729178,9729178
9729178,9434400,9434400
9434400,9749946,9749946
9749946,9278545,9278545
9278545,9511349,9511349
9511349,9530955,9530955
9530955,9357767,9357767
9357767,9450832,9450832
9450832,9304095,9304095
9304095,9469558,9469558
9469558,9446453,9446453
9446453,9363089,9363089
9363089,9224843,9224843
9224843,9752151,9752151
9752151,9718739,9718739
9718739,9527180,9527180
9527180,9747297,9747297
9747297,9552343,9552343
9552343,9401960,9401960
9401960,9332183,9332183
9332183,9668269,9668269
9668269,9316012,9316012
9316012,9367243,9367243
9367243,9374351,9374351
9374351,9310288,9310288
9310288,9478846,9478846
9478846,9729489,9729489
9729489,9228057,9228057
9228057,9319416,9319416
9319416,9698185,9698185
9698185,9717254,9717254
9717254,9490818,9490818
9801249,9670420,9670420
9490818,9703825,9703825
9670420,9703813,9703813
9703825,9165451,9165451
9703813,9453377,9453377
9165451,9374014,9374014
9453377,9400394,9400394
9374014,9711925,9711925
9400394,9573945,9573945
9711925,9737565,9737565
9573945,9633197,9633197
9737565,9598294,9598294
9633197,9426245,9426245
9598294,9426192,9426192
9426245,9839014,9839014
9426192,9691589,9691589
9839014,9628570,9628570
9691589,9473315,9473315
9628570,9479307,9479307
9473315,9446908,9446908
9479307,9227194,9227194
9446908,9583201,9583201
9227194,9450868,9450868
9583201,9478884,9478884
9450868,9304174,9304174
9837286,9594597,9594597
9478884,9403516,9403516
9304174,9331921,9331921
9594597,9184811,9184811
9643154,9539286,9539286
9383950,9539274,9539274
9403516,9606003,9606003
9743291,9500091,9500091
9331921,9743277,9743277
9184811,9531454,9531454
9539286,9404998,9404998
9539274,9304112,9304112
9606003,9414929,9414929
9500091,9610224,9610224
9743289,9670418,9670418
9743277,9748409,9748409
9531454,9661871,9661871
9404998,9638173,9638173
9304112,9694488,9694488
9414929,9646194,9646194
9610224,9228588,9228588
9670418,9632959,9632959
9748409,9687708,9687708
9791896,9723057,9723057
9661871,9543756,9543756
9638173,9753648,9753648
9694488,9468126,9468126
9646194,9729881,9729881
9228588,9643726,9643726
9806354,9746102,9746102
9632959,9557874,9557874
9687708,9290880,9290880
9723057,9594925,9594925
9543756,9479204,9479204
9753648,9725471,9725471
9468126,9460289,9460289
9729881,9736353,9736353
9643726,9395264,9395264
9746102,9606039,9606039
9557874,9313060,9313060
9290880,9612959,9612959
9798349,9592173,9592173
9594925,9287132,9287132
9479204,9785603,9785603
9725471,9630664,9630664
9460289,9423487,9423487
9736353,9472713,9472713
9395264,9486477,9486477
9606039,9479010,9479010
9313060,9450650,9450650
9612959,9480710,9480710
9592173,9751298,9751298
9287132,9536997,9536997
9785603,9376309,9376309
9630664,9798832,9798832
9423487,9557123,9557123
9472713,9450753,9450753
9486477,9330812,9330812
9479010,9722041,9722041
9450650,9284439,9284439
9480710,9562829,9562829
9511959,9288473,9288473
9751298,9473145,9473145
9536997,9461336,9461336
9376309,9257981,9257981
9798832,9267211,9267211
9557123,9606807,9606807
9450753,9536521,9536521
9330812,9689847,9689847
9722041,9715488,9715488
9284439,9650169,9650169
9562829,9591519,9591519
9288473,9500754,9500754
9473145,9403815,9403815
9461336,9006320,9006320
9257981,9540481,9540481
9267211,9622667,9622667
9606807,9711767,9711767
9536521,9711779,9711779
9798088,9467615,9467615
9722625,9696450,9696450
9689847,9425148,9425148
9715488,9763980,9763980
9650169,9763992,9763992
9591519,9478834,9478834
9500754,9195717,9195717
9403815,9599145,9599145
9006320,9537006,9537006
9540481,9430820,9430820
9839064,9405904,9405904
9622667,9672040,9672040
9754082,9726504,9726504
9754094,9643300,9643300
9711767,9695004,9695004
9711779,9643295,9643295
9467615,9672052,9672052
9696450,9316593,9316593
9425148,9708538,9708538
9763980,9713935,9713935
9763992,9590046,9590046
9478834,9277565,9277565
9195717,9590723,9590723
9599145,9587350,9587350
9537006,9396488,9396488
9430820,9699866,9699866
9405904,9767546,9767546
9672040,9723148,9723148
9726504,9747106,9747106
9643300,9737888,9737888
9695004,9243693,9243693
9643295,9599066,9599066
9672052,9668336,9668336
9316593,9643166,9643166
9708538,9589164,9589164
9713935,9698850,9698850
9590046,9711717,9711717
9277565,9648893,9790828
9590723,9790828,9698862
9587350,9569229,9366108
9396488,9698862,9771298
9699866,9550292,9455959
9767546,9829473,9545510
9723148,9829461,9667045
9747106,9366108,9640607
9737888,9771298,9147746
9243693,9455959,9364447
9599066,9545510,9633410
9668336,9667045,9364277
9643166,9640607,9496977
9589164,9147746,9736341
9698850,9364447,9304253
9711717,9294111,9774264
9648893,9284659,9326536
9790828,9250165,9454280
9569229,9633410,9286865
9698862,9518086,9724180
9550292,9364277,9738818
9829473,9496977,9548225
9829461,9736341,9304289
9832432,9304253,9473705
9366108,9590072,9804954
9771298,9774264,9624665
9455959,9326536,9426001
9545510,9328558,9425875
9667045,9260627,9529463
9640607,9454280,9306419
9147746,9328560,9330422
9364447,9286865,9740079
9790816,9724180,9740093
9294111,9738818,9659892
9284659,9302762,9668300
9250165,9518189,9083225
9369514,9459022,9740067
9633410,9548225,9667095
9518086,9304289,9561899
9364277,9473705,9643609
9342815,9610248,9625839
9496977,9804954,9283849
9736341,9624665,9740160
9304253,9426001,9181845
9590072,9611905,9425825
9774264,9278739,9199139
9326536,9425875,9589724
9328558,9529463,9598660
9260627,9306419,9711913
9454280,9330422,9594250
9328560,9740079,9782156
9286865,9740093,9673836
9724180,9527207,9798856
9738818,9659892,9466441
9302762,9668300,9132662
9518189,9083225,9620293
9459022,9740067,9767584
9548225,9667095,9726762
9304289,9561899,9552355
9473705,9641352,9346835
9610248,9241504,9302308
9804954,9643609,9811036
9624665,9625839,9314129
9426001,9283849,9473157
9611905,9254111,9725548
9278739,9740160,9469871
9363132,9181845,9539468
9425875,9425825,9453535
9529463,9199139,9593830
9306419,9589724,9619787
9330422,9598660,9553139
9740079,9711913,9432256
9740093,9594250,9607459
9527207,9782156,9738117
9659892,9673836,9621168
9668300,9798856,9712060
9083225,9466441,9354571
9740067,9132662,9337169
9667095,9620293,9427524
9561899,9687710,9373618
9641352,9767584,9817559
9710555,9726762,9568005
9241504,9552355,9289013
9254460,9346835,9490727
9643609,9302308,9693757
9625839,9652325,9367164
9283849,9811036,9499450
9254111,9314129,9328936
9740160,9473157,9313022
9181845,9549669,9566758
9425825,9725548,9702508
9199139,9469871,9073581
9589724,9539468,9658915
9598660,9453535,9385154
9711913,9714745,9370135
9594250,9593830,9123245
9782156,9619787,9597032
9673836,9553139,9805788
9798856,9432256,9498872
9466441,9607459,9771092
9132662,9738117,9718026
9620293,9621168,9719666
9687710,9712060,9424613
9767584,9354571,9291389
9726762,9337169,9303924
9552355,9427524,9689811
9346835,9373618,9744984
9774032,9817559,9744764
9302308,9568005,9710543
9652325,9289013,9718131
9811036,9490727,9742663
9314129,9693757,9412294
9473157,9367164,9758399
9549669,9497880,9811517
9725548,9499450,9606120
9469871,9756248,9195729
9539468,9328936,9744996
9453535,9573828,9631929
9714745,9401489,9456537
9593830,9313022,9722027
9619787,9566758,9583691
9553139,9702508,9717345
9432256,9073581,9609718
9607459,9658915,9705988
9738117,9385154,9711327
9621168,9370135,9476678
9712060,9123245,9728332
9354571,9597032,9728368
9337169,9805788,9583847
9427524,9498872,9543249
9373618,9771092,9593751
9817559,9718026,9015577
9568005,9719666,9576791
9289013,9424613,9380817
9490727,9291389,9486465
9693757,9303924,9689677
9367164,9689811,
9497880,9439589,
9499450,9744984,
9756248,9744764,
9328936,9710543,
9573828,9718131,
9401489,9742663,
9313022,9618501,
9566758,9489089,
9702508,9412294,
9073581,9820996,
9658915,9442469,
9385154,9758399,
9370135,9811517,
9123245,9606120,
9597032,9195729,
9805788,9744996,
9498872,9631929,
9771092,9456537,
9718026,9722027,
9719666,9583691,
9343637,9484675,
9424613,9467665,
9291389,9717345,
9303924,9609718,
9689811,9705988,
9439589,9711327,
9744984,9476678,
9744764,9728332,
9710543,9728368,
9718131,9583847,
9742663,9543249,
9618501,9593751,
9489089,9446130,
9412294,9015577,
9820996,9576791,
9442469,9380817,
9758399,9486465,
9811517,9689677,
9606120,,
9195729,,
9832444,,
9744996,,
9631929,,
9456537,,
9722027,,
9583691,,
9484675,,
9467665,,
9717345,,
9609718,,
9705988,,
9711327,,
9476678,,
9728332,,
9728368,,
9728356,,
9583847,,
9543249,,
9593751,,
9774850,,
9446130,,
9015577,,
9576791,,
9380817,,
9486465,,
9689677,,
